"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Bryozoa","broad.Crinoids","broad.Hydrocoral","broad.Hydroids","broad.Octocoral/Black","broad.Sponges","broad.Unconsolidated"
"1.01",-22.84786205,113.5404917,12082019,09:23:00,1,"Ningaloo Marine Park","Yes",0,100,0.3,0.483045891539648,0,0,0,0,0,0,100
"1.02",-22.85016136,113.5252875,12082019,09:35:00,1,"Ningaloo Marine Park","Yes",0,100,0.933333333333333,0.258198889747161,0,0,0,0,0,0,100
"1.03",-22.84437,113.51304,12082019,09:43:00,1,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"1.04",-22.8402743,113.5183981,12082019,09:51:00,1,"Ningaloo Marine Park","Yes",0,100,0.0666666666666667,0.258198889747161,0,0,0,0,0,0,100
"1.05",-22.83417,113.51601,12082019,09:58:00,1,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"1.06",-22.83153691,113.523387,12082019,10:06:00,1,"Ningaloo Marine Park","Yes",0,100,0.75,0.452267016866645,0,0,0,0,0,0,100
"2.02",-22.83153691,113.5625852,12082019,11:47:00,2,"Ningaloo Marine Park","Yes",0,100,0.777777777777778,0.440958551844098,0,0,0,0,0,0,100
"2.03",-22.82900766,113.5659111,12082019,11:57:00,2,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"2.04",-22.82440903,113.5815904,12082019,12:05:00,2,"Ningaloo Marine Park","Yes",0,100,0.625,0.5,0,0,0,0,0,0,100
"2.05",-22.82256957,113.5770767,12082019,12:12:00,2,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"2.06",-22.82164985,113.5716127,12082019,12:18:00,2,"Ningaloo Marine Park","Yes",0,100,0.9375,0.25,0,0,0,0,0,0,100
"2.07",-22.8191206,113.5640106,12082019,12:24:00,2,"Ningaloo Marine Park","Yes",0,100,1.25,1,0,0,0,0,0,0,100
"3.01",-22.81314238,113.5207738,12082019,14:12:00,3,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"3.02",-22.81015327,113.5262378,12082019,14:07:00,3,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"3.03",-22.80693423,113.5338398,12082019,14:00:00,3,"Ningaloo Marine Park","Yes",0,100,0.8125,0.543905629069357,0,0,0,0,0,0,100
