"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","mean.relief","sd.relief","type","detailed: Hydrocoral: Branching","detailed: Octocoral/Black: Branching (3D)","detailed: Octocoral/Black: Fan (2D)","detailed: Octocoral/Black: Small mixed","detailed: Octocoral/Black: Whip","detailed: Sponges: Erect forms","detailed: Sponges: Hollow forms","detailed: Sponges: Massive forms","detailed: Sponges: Small mixed","detailed: Unconsolidated: Pebble / gravel (biogenic)","detailed: Unconsolidated: Sand / mud (coarse sand)","detailed: Unconsolidated: Sand / mud (fine sand)"
"1.01",-22.84786205,113.5404917,12082019,09:23:00,1,"Ningaloo Marine Park","Yes",0,100,0.3,0.483045891539648,NA,0,0,0,0,0,0,0,0,0,0,100,0
"1.02",-22.85016136,113.5252875,12082019,09:35:00,1,"Ningaloo Marine Park","Yes",0,100,0.933333333333333,0.258198889747161,NA,0,0,0,0,0,0,0,0,0,0,100,0
"1.03",-22.84437,113.51304,12082019,09:43:00,1,"Ningaloo Marine Park","Yes",0,100,1,0,NA,0,0,0,0,0,0,0,0,0,0,100,0
"1.04",-22.8402743,113.5183981,12082019,09:51:00,1,"Ningaloo Marine Park","Yes",0,100,0.0666666666666667,0.258198889747161,NA,0,0,0,0,0,0,0,0,0,0,100,0
"1.05",-22.83417,113.51601,12082019,09:58:00,1,"Ningaloo Marine Park","Yes",0,100,1,0,NA,0,0,0,0,0,0,0,0,0,0,100,0
"1.06",-22.83153691,113.523387,12082019,10:06:00,1,"Ningaloo Marine Park","Yes",0,100,0.75,0.452267016866645,NA,0,0,0,0,0,0,0,0,0,0,100,0
"2.02",-22.83153691,113.5625852,12082019,11:47:00,2,"Ningaloo Marine Park","Yes",0,100,0.777777777777778,0.440958551844098,NA,0,0,0,0,0,0,0,0,0,0,0,100
"2.03",-22.82900766,113.5659111,12082019,11:57:00,2,"Ningaloo Marine Park","Yes",0,100,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,100
"2.04",-22.82440903,113.5815904,12082019,12:05:00,2,"Ningaloo Marine Park","Yes",0,100,0.625,0.5,NA,0,0,0,0,0,0,0,0,0,0,6.25,93.75
"2.05",-22.82256957,113.5770767,12082019,12:12:00,2,"Ningaloo Marine Park","Yes",0,100,1,0,NA,0,0,0,0,0,0,0,0,0,37.5,0,62.5
